# id | afinação | confiança | instrumentação | observação
system-of-a-down--toxicity|dropC|1|vvgbd|
t-rex--20th-century-boy|E|0|vgbd|
taylor-swift--love-story|E|0|vggbdk|
taylor-swift--picture-to-burn|E|0|vggbd|
taylor-swift--you-belong-with-me|E|0|vggbd|
ted-nugent--cat-scratch-fever|E|1|vgbd|
ted-nugent--stranglehold|E|0|vggbd|
tenacious-d--master-exploder|E|0|vvggbd|
tenacious-d--the-metal|E|0|vvggbd|
tesla--modern-day-cowboy|E|0|vggbd|
that-handsome-devil--elephant-bones||0||
the-1975--girls|E|0|vggbdk|
the-acro-brats--callout||0||
the-acro-brats--laughtrack||0||
the-airborne-toxic-event--gasoline|E|0|vgbdkc|
the-all-american-rejects--dirty-little-secret|E|0|vggbd|
the-allman-brothers-band--jessica|E|1|ggbdk|Instrumental.
the-allman-brothers-band--ramblin-man|E|1|vggbdk|
the-amazing-crowns--mr-fix-it||0||
the-answer--never-too-late|E|0|vgbd|
the-bags--cavemen-rejoice||0||
the-black-crowes--hard-to-handle|openG|0|vggbdk|
the-black-keys--gold-on-the-ceiling|E|0|vgbdk|
the-bravery--believe|E|0|vgbdk|
the-breaking-wheel--one-for-the-road||0||
the-bronx--six-days-a-week|E|0|vggbd|
the-butthole-surfers--who-was-in-my-room-last-night|E|0|vgbd|
the-charlie-daniels-band--the-devil-went-down-to-georgia|E|1|vggbdc|Rabeca (fiddle) no original.
the-clash--complete-control|E|0|vggbd|
the-clash--safe-european-home|E|0|vggbd|
the-cult--love-removal-machine|E|0|vgbd|
the-cult--she-sells-sanctuary|E|0|vgbd|
the-cure--fascination-street|E|0|vgbdk|
the-derek-trucks-band--younk-funk|openE|1|gbdk|Instrumental, slide.
the-dillinger-escape-plan--setting-fire-to-sleeping-giants|dropC|0|vggbd|
the-donnas--take-it-off|E|0|vggbd|
the-doors--love-me-two-times|E|0|vgdk|Sem baixista: o baixo é tocado no teclado.
the-duke-spirit--send-a-little-love-token|E|0|vggbd|
the-edgar-winter-group--frankenstein|E|1|gbdks|Instrumental.
the-edgar-winter-group--free-ride|E|1|vggbdk|
the-enemy--aggro|E|0|vgbd|
the-exies--hey-you|dropD|0|vggbd|
the-fall-of-troy--fcpremix|E|0|vgbd|
the-gaslight-anthem--45|E|0|vggbd|
the-go-gos--our-lips-are-sealed|E|0|vggbd|
the-go-gos--we-got-the-beat|E|0|vggbd|
the-guess-who--american-woman|E|1|vggbd|
the-hives--tick-tick-boom|E|0|vggbd|
the-jackson-5--abc|E|0|vvvgbdk|
the-jimi-hendrix-experience--purple-haze|Eb|1|vgbd|
the-jimi-hendrix-experience--spanish-castle-magic|Eb|1|vgbd|
the-jimi-hendrix-experience--the-wind-cries-mary|Eb|1|vgbd|
the-killers--all-the-pretty-faces|E|0|vgbdk|
the-killers--when-you-were-young|E|0|vgbdk|
the-kinks--all-day-and-all-of-the-night|E|1|vggbd|
the-kooks--naive|E|0|vggbd|
the-last-goodnight--pictures-of-you|E|0|vggbdk|
the-last-vegas--raw-dog||0||
the-living-end--carry-me-home|E|0|vgbd|
the-living-end--prisoner-of-society|E|0|vgbd|
the-lumineers--ho-hey|E|0|vvgdkc|
the-mars-volta--lvia-lviaquez|E|0|vggbdkp|
the-mighty-mighty-bosstones--the-impression-that-i-get|E|0|vgbdks|
the-model-sons--story-of-my-love||0||
the-neighborhoods--parasite||0||
the-offspring--pretty-fly-for-a-white-guy|E|0|vggbd|
the-offspring--self-esteem|E|0|vggbd|
the-police--message-in-a-bottle|E|1|vgbd|
the-police--so-lonely|E|0|vgbd|
the-police--synchronicity-ii|E|0|vgbdk|
the-pretenders--tattooed-love-boys|E|0|vggbd|
the-raconteurs--steady-as-she-goes|E|0|vggbd|
the-rolling-stones--cant-you-hear-me-knockin|openG|1|vggbdks|
the-rolling-stones--honky-tonk-women|openG|1|vggbdkp|
the-rolling-stones--paint-it-black|E|1|vggbdc|Cítara no riff original.
the-rolling-stones--stray-cat-blues|openE|0|vggbdk|
the-rolling-stones--sympathy-for-the-devil|E|0|vggbdkp|
the-romantics--what-i-like-about-you|E|1|vggbdh|
the-runaways--cherry-bomb|E|0|vggbd|
the-sleeping--dont-hold-back||0||
the-slip--even-rats||0||
the-smashing-pumpkins--bullet-with-butterfly-wings|Eb|0|vggbd|
the-smashing-pumpkins--cherub-rock|Eb|1|vggbd|
the-smashing-pumpkins--today|Eb|1|vggbd|
the-stone-roses--love-spreads|E|0|vgbd|
the-stone-roses--she-bangs-the-drums|E|0|vgbd|
the-strokes--reptilia|E|0|vggbd|
the-sword--freya|C|0|vggbd|
the-sword--maiden-mother-and-crone|C|0|vggbd|
the-sword--the-black-river|C|0|vggbd|
the-turtles--happy-together|E|0|vvgbdks|
the-upper-crust--eureka-ive-found-love||0||
the-vapors--turning-japanese|E|0|vggbd|
the-vines--get-free|E|0|vggbd|
the-white-stripes--blue-orchid|E|0|vgd|Dupla sem baixo.
the-white-stripes--seven-nation-army|E|1|vgd|Guitarra com pedal de oitava; dupla sem baixo.
the-who--the-seeker|E|0|vgbd|
the-who--wont-get-fooled-again|E|1|vgbdk|
them-crooked-vultures--scumbag-blues|E|0|vgbdk|
thin-lizzy--bad-reputation|E|0|vggbd|
thin-lizzy--jailbreak|E|1|vggbd|
thin-lizzy--the-boys-are-back-in-town|E|1|vggbd|
third-eye-blind--graduate|E|0|vggbd|
third-eye-blind--semi-charmed-life|E|0|vggbd|
thirty-seconds-to-mars--the-kill|E|0|vggbdk|
thrice--deadbolt|E|0|vggbd|
toadies--possum-kingdom|dropD|0|vggbd|
tokio-hotel--monsoon|E|0|vggbdk|
tom-petty--runnin-down-a-dream|E|1|vggbdk|
tom-petty-and-the-heartbreakers--american-girl|E|1|vggbdk|
tom-petty-and-the-heartbreakers--listen-to-her-heart|E|0|vggbdk|
tonic--if-you-could-only-see|E|0|vggbd|
tool--parabola|dropD|1|vgbd|
tool--schism|dropD|1|vgbd|
tool--vicarious|dropD|1|vgbd|
trust--antisocial|E|0|vggbd|
tv-on-the-radio--wolf-like-me|E|0|vggbdk|
twisted-sister--i-wanna-rock|E|0|vggbd|
twisted-sister--were-not-gonna-take-it|E|0|vggbd|
vagiant--ftk||0||
valient-thorr--fall-of-pangea||0||
vampire-weekend--a-punk|E|0|vgbdk|
van-halen--aint-talkin-bout-love|Eb|0|vgbd|Eddie afinava cerca de ¼ de tom abaixo; em Mi♭ fica mais perto.
van-halen--and-the-cradle-will-rock|Eb|0|vgbdk|
van-halen--atomic-punk|Eb|0|vgbd|
van-halen--beautiful-girls|Eb|0|vgbd|
van-halen--cathedral|E|0|g|Instrumental de guitarra solo.
van-halen--dance-the-night-away|Eb|0|vgbd|
van-halen--eruption|Eb|1|gbd|Instrumental.
van-halen--everybody-wants-some|Eb|0|vgbd|
van-halen--feel-your-love-tonight|Eb|0|vgbd|
van-halen--hang-em-high|E|0|vgbd|
van-halen--hear-about-it-later|E|0|vgbdk|
van-halen--hot-for-teacher|E|0|vgbd|
van-halen--im-the-one|Eb|0|vgbd|
van-halen--ice-cream-man|Eb|0|vgbd|
van-halen--intruder-oh-pretty-woman|E|0|vgbd|
van-halen--jamies-cryin|Eb|0|vgbd|
van-halen--jump|E|1|vgbdk|
van-halen--little-guitars|E|0|vgbd|
van-halen--loss-of-control|E|0|vgbd|
van-halen--mean-street|E|0|vgbd|
van-halen--panama|E|1|vgbd|
van-halen--romeo-delight|E|0|vgbd|
van-halen--runnin-with-the-devil|Eb|0|vgbd|
van-halen--so-this-is-love|E|0|vgbd|
van-halen--somebody-get-me-a-doctor|Eb|0|vgbd|
van-halen--spanish-fly|E|0|g|Instrumental no violão.
van-halen--unchained|dropD|1|vgbd|
van-halen--you-really-got-me|Eb|0|vgbd|
village-people--ymca|E|0|vvvgbdks|
voivod--x-stream|E|0|vgbd|
warrant--cherry-pie|E|0|vggbd|
weezer--dope-nose|Eb|0|vggbd|
weezer--my-name-is-jonas|Eb|1|vggbd|
weezer--why-bother|Eb|0|vggbd|
white-lion--radar-love|E|0|vgbdk|
white-zombie--black-sunshine|D|0|vgbd|
white-zombie--thunder-kiss-65|D|0|vgbd|
wild-cherry--play-that-funky-music|E|1|vgbdk|
willie-nelson--on-the-road-again|E|0|vggbdh|
winger--seventeen|E|0|vggbdk|
wings--band-on-the-run|E|0|vggbdkc|
wolfmother--back-round|E|0|vgbdk|
wolfmother--sundial|E|0|vgbdk|
wolfmother--woman|E|0|vgbdk|
x--los-angeles|E|0|vvgbd|
yellowcard--ocean-avenue|E|0|vggbdc|Violino na banda.
yellowcard--the-takedown|E|0|vggbdc|
you-me-at-six--lived-a-lie|E|0|vggbd|
zz-top--la-grange|E|0|vgbd|
zz-top--sharp-dressed-man|E|0|vgbdk|
