# id | afinação | confiança | instrumentação | observação
megadeth--hangar-18|E|1|vggbd|
megadeth--holy-wars-the-punishment-due|E|1|vggbd|
megadeth--sudden-death|E|0|vggbd|
megadeth--sweating-bullets|E|0|vggbd|
megadeth--symphony-of-destruction|E|1|vggbd|
megadeth--this-day-we-fight|E|0|vggbd|
megasus--red-lottery||0||
mercyful-fate--evil|E|0|vggbd|
metallica--all-nightmare-long|E|1|vggbd|
metallica--battery|E|1|vggbd|
metallica--broken-beat-and-scarred|E|1|vggbd|
metallica--creeping-death|E|1|vggbd|
metallica--cyanide|E|0|vggbd|
metallica--disposable-heroes|E|1|vggbd|
metallica--dyers-eve|E|1|vggbd|
metallica--enter-sandman|E|1|vggbd|
metallica--fade-to-black|E|1|vggbd|
metallica--fight-fire-with-fire|E|1|vggbd|
metallica--for-whom-the-bell-tolls|E|1|vggbd|
metallica--frantic|dropC|1|vggbd|
metallica--fuel|Eb|1|vggbd|
metallica--hit-the-lights|E|1|vggbd|
metallica--king-nothing|Eb|1|vggbd|
metallica--master-of-puppets|E|1|vggbd|
metallica--mercyful-fate|E|0|vggbd|Medley de covers.
metallica--my-apocalypse|E|1|vggbd|
metallica--no-leaf-clover|Eb|1|vggbdc|Com orquestra (S&M).
metallica--nothing-else-matters|E|1|vggbdc|
metallica--one|E|1|vggbd|
metallica--orion|E|1|ggbd|Instrumental.
metallica--sad-but-true|D|1|vggbd|
metallica--seek-and-destroy|E|1|vggbd|
metallica--the-memory-remains|Eb|1|vvggbd|Participação de Marianne Faithfull.
metallica--the-shortest-straw|E|1|vggbd|
metallica--the-thing-that-should-not-be|D|0|vggbd|
metallica--the-unforgiven|E|1|vggbd|
metallica--trapped-under-ice|E|1|vggbd|
metallica--welcome-home-sanitarium|E|1|vggbd|
metallica--wherever-i-may-roam|E|1|vggbd|
metallica--whiplash|E|1|vggbd|
michael-jackson--beat-it|Eb|1|vggbdk|
michael-schenker-group--armed-and-ready|E|0|vggbdk|
modest-mouse--float-on|E|0|vggbd|
monkey-steals-the-peach--guitar-hero||0||
mott-the-hoople--all-the-young-dudes|E|0|vggbdk|
motorhead--ace-of-spades|E|1|vgbd|
motorhead--overkill|E|1|vgbd|
mountain--mississippi-queen|E|1|vgbdkp|Tem cowbell.
mumford-and-sons--i-will-wait|E|0|vvggbdk|Banjo contado como guitarra.
muse--assassin|E|0|vgbdk|
muse--knights-of-cydonia|E|1|vgbdk|
muse--plug-in-baby|E|0|vgbd|
muse--uprising|E|0|vgbdk|
my-chemical-romance--dead|E|0|vggbd|
my-chemical-romance--im-not-okay-i-promise|E|0|vggbd|
my-morning-jacket--one-big-holiday|E|0|vggbdk|
motley-crue--looks-that-kill|Eb|0|vgbd|
motley-crue--shout-at-the-devil|Eb|0|vgbd|
nerd--rock-star|E|0|vgbdj|
naast--mauvais-garcon||0||
negramaro--nuvole-e-lenzuola|E|0|vggbdk|
neil-young--rockin-in-the-free-world|E|0|vggbd|
nelly-furtado--turn-off-the-light|E|0|vgbdp|
neon-trees--everybody-talks|E|0|vgbdk|
new-york-dolls--personality-crisis|E|0|vggbdk|
nickelback--how-you-remind-me|dropD|0|vggbd|
night-ranger--you-can-still-rock-in-america|E|0|vggbdk|
nine-inch-nails--wish|E|0|vgbdk|
nirvana--about-a-girl|Eb|0|vggbdc|Versão acústica do Unplugged (com violoncelo).
nirvana--heart-shaped-box|dropD|0|vgbd|
nirvana--lithium|Eb|0|vgbd|
nirvana--smells-like-teen-spirit|E|0|vgbd|
no-doubt--dont-speak|E|0|vgbdk|
no-doubt--ex-girlfriend|E|0|vgbdk|
no-doubt--just-a-girl|E|0|vgbdk|
no-doubt--spiderwebs|E|0|vgbdks|
noble-rot--kicked-to-the-curb||0||
nofx--soul-doubt|E|0|vggbd|
oasis--some-might-say|Eb|0|vggbd|
of-mice-and-men--bones-exposed|dropB|0|vvggbd|
of-monsters-and-men--mountain-sound|E|0|vvggbdk|
oingo-boingo--only-a-lad|E|0|vggbdks|
ok-go--a-million-ways|E|0|vggbd|
onerepublic--counting-stars|E|0|vgbdk|
orianthi--suffocated|E|0|vgbd|
ounce-of-self--drink-up||0||
ozzy-osbourne--bark-at-the-moon|Eb|0|vgbdk|
ozzy-osbourne--crazy-train|E|1|vgbdk|
ozzy-osbourne--mr-crowley|E|1|vgbdk|
pantera--cowboys-from-hell|E|1|vgbd|
pantera--im-broken|D|0|vgbd|
papa-roach--lifeline|dropD|0|vggbd|
parachute--back-again|E|0|vgbdk|
paramore--misery-business|E|0|vggbd|
paramore--now|E|0|vggbd|
pat-benatar--heartbreaker|E|0|vggbd|
pat-benatar--hit-me-with-your-best-shot|E|1|vggbd|
pat-benatar--love-is-a-battlefield|E|0|vggbdk|
pearl-jam--even-flow|E|0|vggbd|
pearl-jam--life-wasted|E|0|vggbd|
pearl-jam--mind-your-manners|E|0|vggbd|
peter-frampton--do-you-feel-like-we-do|E|1|vggbdk|Talk box.
phoenix--lasso|E|0|vggbdk|
pierce-the-veil--king-for-a-day-ft-kellin-quinn|dropC|0|vvggbd|
poison--every-rose-has-its-thorn|Eb|0|vgbd|
poison--nothin-but-a-good-time|Eb|0|vgbd|
poison--talk-dirty-to-me|Eb|0|vgbd|
poison--unskinny-bop|Eb|0|vgbd|
priestess--lay-down|E|0|vggbd|
primus--john-the-fisherman|E|0|vgbd|
prototype--the-way-it-ends||0|vggbd|
public-enemy-featuring-zakk-wylde--bring-the-noise-20xx|E|0|vvgbdj|
queen--bohemian-rhapsody|E|1|vgbdk|
queen--i-want-it-all|E|0|vgbdk|
queen--killer-queen|E|1|vgbdk|
queen--stone-cold-crazy|E|1|vgbd|
queen--tie-your-mother-down|E|0|vgbdk|
queen-and-david-bowie--under-pressure|E|1|vvgbdk|
queens-of-the-stone-age--3s-and-7s|E|0|vggbd|
queens-of-the-stone-age--make-it-wit-chu|E|0|vggbdk|
queens-of-the-stone-age--no-one-knows|C|0|vggbd|
queens-of-the-stone-age--sick-sick-sick|C|0|vggbd|
queensryche--jet-city-woman|E|0|vggbd|
quiet-riot--bang-your-head-metal-health|E|0|vgbd|
rem--losing-my-religion|E|1|vggbdk|O riff principal é de bandolim.
rem--the-one-i-love|E|0|vgbd|
radio-futura--escuela-de-calor|E|0|vggbdk|
rage-against-the-machine--bulls-on-parade|Eb|0|vgbd|
rage-against-the-machine--killing-in-the-name|dropD|1|vgbd|
rammstein--du-hast|dropC|0|vggbdk|
rammstein--waidmanns-heil|dropC|0|vggbdk|
ramones--i-wanna-be-sedated|E|1|vgbd|
ramones--theme-from-spiderman|E|0|vgbd|
rancid--salvation|E|0|vggbd|
ratt--round-and-round|Eb|0|vggbd|
red-hot-chili-peppers--higher-ground|E|1|vgbd|
red-hot-chili-peppers--suck-my-kiss|E|0|vgbd|
red-rider--lunatic-fringe|E|0|vggbdk|
reverend-horton-heat--psychobilly-freakout|E|0|vgbd|
revolverheld--generation-rock|E|0|vggbd|
rick-derringer--rock-and-roll-hoochie-koo|E|0|vggbd|
rihanna--california-king-bed|E|0|vgbdk|
rise-against--prayer-of-the-refugee|E|0|vggbd|
rise-against--re-education-through-labor|E|0|vggbd|
rise-against--savior|E|0|vggbd|
rise-against--tragedy-time|E|0|vggbd|
rival-sons--keep-on-swinging|E|0|vgbd|
robbie-williams-and-kylie-minogue--kids|E|0|vvgbdk|
rose-hill-drive--sneak-out|E|0|vgbd|
roy-orbison--oh-pretty-woman|E|1|vggbd|
royal-blood--little-monster|D|0|vbd|Dupla sem guitarra: baixo com efeitos de oitava.
run-dmc--king-of-rock|E|0|vvgbdj|
rush--2112-pt-1-overture|E|1|vgbdk|
rush--2112-pt-2-the-temples-of-syrinx|E|1|vgbd|
rush--2112-pt-3-discovery|E|1|vgbd|
rush--2112-pt-4-presentation|E|1|vgbd|
rush--2112-pt-5-oracle-the-dream|E|1|vgbd|
