# id | afinação (vazio = desconhecida) | confiança (1 confirmada, 0 a confirmar) | instrumentação (v g b d k p s c h j; vazio = desconhecida) | observação
duran-duran--hungry-like-the-wolf|E|1|vgbdk|
duran-duran--rio|E|1|vgbdks|
eagles--hotel-california|E|1|vggbd|Violão de 12 cordas com capotraste na 7ª casa; solo final em duas guitarras.
eagles-of-death-metal--wannabe-in-la|E|0|vggbd|
eddie-money--shakin|E|0|vggbdk|
elbow--grounds-for-divorce|E|0|vgbdk|
elliott-smith--la|E|0|vgbd|
elton-john--saturday-nights-alright-for-fighting|E|0|vgbdk|
eminem--berzerk|E|0|vgbdj|
eric-johnson--cliffs-of-dover|E|1|gbd|Instrumental.
evanescence--bring-me-to-life|dropC|0|vvggbdk|
everclear--santa-monica|E|0|vggbd|
every-time-i-die--the-new-black|dropC|0|vggbd|
extreme--play-with-me|Eb|1|vgbd|
face-to-face--disconnected|E|0|vggbd|
fall-out-boy--dance-dance|dropD|0|vggbd|
fall-out-boy--my-songs-know-what-you-did-in-the-dark-light-em-up|Eb|0|vggbd|
fall-out-boy--sugar-were-goin-down|dropD|0|vggbd|
faster-pussycat--bathroom-wall|E|0|vggbd|
filter--hey-man-nice-shot|dropD|0|vgbd|
filter--take-a-picture|E|0|vgbdk|
finger-eleven--paralyzer|E|0|vggbd|
five-finger-death-punch--hard-to-see|dropB|0|vggbd|
fleetwood-mac--go-your-own-way|E|1|vvgbdk|
flyleaf--again|dropC|0|vggbd|
foghat--slow-ride|E|0|vggbd|
foo-fighters--best-of-you|dropD|1|vggbd|
foo-fighters--everlong|other:Drop D com a 1ª corda em Ré (DADGBD)|1|vggbd|
foo-fighters--monkey-wrench|dropD|1|vggbd|
foo-fighters--no-way-back|E|0|vggbd|
foo-fighters--stacked-actors|dropD|0|vggbd|
foreigner--double-vision|E|0|vggbdk|
foreigner--feels-like-the-first-time|E|0|vggbdk|
fountains-of-wayne--stacys-mom|E|0|vggbdk|
franz-ferdinand--take-me-out|E|1|vggbd|
freezepop--get-ready-2-rokk||0||
freezepop--less-talk-more-rokk||0||
gallows--in-the-belly-of-a-shark|E|0|vggbd|
garbage--only-happy-when-it-rains|E|0|vggbd|
george-thorogood-and-the-destroyers--move-it-on-over|openG|0|vgbds|Slide.
good-charlotte--the-anthem|E|0|vggbd|
gorillaz--feel-good-inc|E|0|vvgbdk|
govt-mule--streamline-woman|E|0|vgbdk|
grand-funk-railroad--were-an-american-band|E|1|vgbdk|
graveyard-bbq--cheat-on-the-church||0||
green-day--nuclear-family|E|0|vgbd|
guns-n-roses--sweet-child-o-mine|Eb|1|vggbd|
guns-n-roses--welcome-to-the-jungle|Eb|1|vggbd|
halestorm--love-bites-so-do-i|dropD|0|vggbd|
heart--barracuda|E|0|vggbd|
heart--crazy-on-you|E|0|vggbdk|
hellacopters--im-in-the-band|E|0|vggbdk|
helmet--unsung|dropD|1|vggbd|
hilary-duff--so-yesterday|E|0|vggbd|
hinder--lips-of-an-angel|E|0|vggbd|
honest-bob-and-the-factory-to-dealer-incentives--hey||0||
honest-bob-and-the-factory-to-dealer-incentives--soy-bomb||0||
hushpuppies--youre-gonna-say-yeah|E|0|vggbdk|
heroes-del-silencio--avalancha|E|0|vggbd|
iggy-pop--lust-for-life|E|0|vggbdk|
iggy-pop-and-the-stooges--search-and-destroy|E|0|vgbd|
imagine-dragons--demons|E|0|vgbdk|
